gp1,1274665,986258,485880,949504
gp2,1757845,863104,256876,1138238
gp3,1529540,1350633,827561,1204739
gp4,1730187,858390,286124,1108102
gp5,1120741,499742,684914,608442
gp6,1240923,989602,569894,976116
gp7,1728951,824508,40474,1071766
gp8,1272553,979976,492930,941036
gp9,1587297,750882,189664,925840
gp10,1730487,1322178,659842,1272788
gp11,1247497,978326,523464,910960
gp12,1520754,623455,329383,913857
gp13,1247497,978326,523464,910960
gp14,1749531,769802,129324,1118374
gp15,1758231,830868,1178,1108566
gp16,1515637,622926,348908,914372
gp17,1050111,539358,1049412,525186
gp18,1584807,746402,188230,926510
gp19,1245961,980390,521636,914418
gp20,1730823,823374,40138,1070878
gp21,1759767,826306,20614,1112956
gp22,1730487,823038,40474,1070542
gp23,1273225,986246,496302,948682
gp24,1749531,769802,129324,1118374
gp25,1730623,823334,40886,1070728
gp26,1730487,823038,40474,1070542
gp27,1661707,706720,254090,1069010
gp28,1275241,986216,484072,949080
gp29,1272553,986156,486750,947256
gp30,1616933,690400,249814,1014498
jaccard,1285093,992036,511296,968456
ochiai,1119093,505874,684738,609286
tarantula,1152110,523671,706075,658113
ample,1313641,1348266,1076066,1325798
wong1,1255741,991658,533864,923126
wong2,1510296,618223,383035,911477
wong3,1616979,747246,160600,956642
op1,797233,1164944,1132668,1124402
op2,1730487,823038,40474,1070542
